student_id,name,division,subject,session_date,status
STU001,Aarav Sharma,CSE-A,Operating Systems,2026-01-05 09:00:00,present
STU002,Aditi Patel,CSE-A,Operating Systems,2026-01-05 09:00:00,absent
STU003,Arjun Nair,CSE-A,Operating Systems,2026-01-05 09:00:00,present
STU004,Ananya Iyer,CSE-A,Operating Systems,2026-01-05 09:00:00,absent
STU005,Devansh Gupta,CSE-A,Operating Systems,2026-01-05 09:00:00,present
STU006,Diya Sengupta,CSE-A,Operating Systems,2026-01-05 09:00:00,present
STU007,Ishaan Verma,CSE-A,Operating Systems,2026-01-05 09:00:00,present
STU008,Kavya Reddy,CSE-A,Operating Systems,2026-01-05 09:00:00,present
STU009,Manish Joshi,CSE-A,Operating Systems,2026-01-05 09:00:00,absent
STU010,Meera Pillai,CSE-A,Operating Systems,2026-01-05 09:00:00,absent
STU011,Nikhil Rao,CSE-A,Operating Systems,2026-01-05 09:00:00,present
STU012,Pooja Kulkarni,CSE-A,Operating Systems,2026-01-05 09:00:00,absent
STU013,Pranav Mehta,CSE-A,Operating Systems,2026-01-05 09:00:00,present
STU014,Riya Deshmukh,CSE-A,Operating Systems,2026-01-05 09:00:00,present
STU015,Rohan Malhotra,CSE-A,Operating Systems,2026-01-05 09:00:00,present
STU016,Saanvi Bhat,CSE-B,Operating Systems,2026-01-05 09:00:00,present
STU017,Samarth Jain,CSE-B,Operating Systems,2026-01-05 09:00:00,present
STU018,Shreya Mane,CSE-B,Operating Systems,2026-01-05 09:00:00,present
STU019,Siddharth Das,CSE-B,Operating Systems,2026-01-05 09:00:00,present
STU020,Sneha Roy,CSE-B,Operating Systems,2026-01-05 09:00:00,present
STU021,Sparsh Kapoor,CSE-B,Operating Systems,2026-01-05 09:00:00,present
STU022,Tanvi Agrawal,CSE-B,Operating Systems,2026-01-05 09:00:00,present
STU023,Utkarsh Sinha,CSE-B,Operating Systems,2026-01-05 09:00:00,present
STU024,Vaishnavi Patil,CSE-B,Operating Systems,2026-01-05 09:00:00,present
STU025,Varun Chopra,CSE-B,Operating Systems,2026-01-05 09:00:00,absent
